id,kind,apply_grader,prompt
1,low_stakes,0,"It’s such a nice day out today, isn't it?"
2,decision_or_research,1,"I'm considering taking an online course to improve my data analysis skills but I'm torn between two platforms: Coursera and Udacity. Coursera offers courses from universities that are more theoretical, while Udacity focuses on practical, project-based learning. Can you help me compare these options in terms of course content, flexibility, job market value, and overall cost?"
3,personal_info,1,"Hi, I hope you can help me. I’m in the middle of updating my resume because I’m applying for a management position at my current job. I’ve been with the company for five years and have led a few successful projects, but I’m unsure how to highlight my experience effectively. Should I focus more on my leadership skills or the specific outcomes of the projects? Any tips on formatting would also be appreciated!"
4,low_stakes,0,Just finished my coffee—such a nice little pick-me-up!
5,decision_or_research,1,"I'm trying to decide between two job offers: one is a stable position with a well-known company but offers limited growth potential, while the other is with a startup that has a dynamic environment and possibilities for advancement, but comes with more risks. Can you help me weigh the pros and cons of each to make a more informed decision?"
6,personal_info,1,"I’ve been really struggling with my confidence during interviews lately, especially since I haven’t landed a job in over six months. I graduated with a marketing degree but haven’t had much relevant experience, and I’m worried that my lack of internships is holding me back. Could you help me understand how to better present my skills on my resume or during interviews? Maybe I could reframe some of my volunteer work to highlight transferable skills?"
7,low_stakes,0,"That reminds me, I saw a really interesting article the other day about different ways people enjoy their mornings."
8,decision_or_research,1,"I'm planning a week-long trip to Europe and need to decide between visiting Italy or Spain. Can you compare the cultural experiences, must-see attractions, and food options in both countries to help me make a more informed choice?"
9,personal_info,1,"I'm in the process of applying for a new job and they asked for three professional references. I haven't been in the job market for a while, and I'm not sure how to approach my former boss about this. We had a good working relationship, but it's been a couple of years since we last spoke. Should I email him directly or try to reconnect over LinkedIn first? Also, what should I say to make sure he feels comfortable giving a reference"
10,low_stakes,0,"I just saw a squirrel outside, and it was doing some funny acrobatics!"
11,decision_or_research,1,"I'm researching eco-friendly travel options for an upcoming trip to Europe and would like to compare the environmental impact of flying versus taking a train. Can you help me analyze the pros and cons of each mode of transportation, including costs, carbon emissions, and travel times?"
12,personal_info,1,"I'm applying for a job in project management and need to update my resume. I've worked in the tech industry for over five years and led several successful projects, but I'm not sure how to highlight my experience effectively. Could you advise me on what key accomplishments to include and if there are specific formats I should consider for this field?"
13,low_stakes,0,I love how the colors change in the fall!
14,decision_or_research,1,"Can you help me evaluate the pros and cons of using a standing desk versus a traditional desk for my home office setup? I'm particularly interested in how each option might impact my posture, productivity, and overall health in the long run."
15,personal_info,1,"I'm currently applying for a promotion at work, and they’ve asked for a detailed resume. I've been with the company for five years, and I want to make sure I highlight my accomplishments effectively. Should I include specific metrics, like sales figures or project timelines, to demonstrate my impact? Also, do you think I should mention my volunteer work outside of the office? It's been a significant part of my life, but I’m unsure if it’s relevant"
16,low_stakes,0,I just found an old photo album—what a trip down memory lane!
17,decision_or_research,1,I'm looking into starting a small vegetable garden at home. Can you compare the benefits and challenges of growing my own food versus buying from local farmers' markets? I'd like to know which option might be more sustainable and cost-effective in the long run.
18,personal_info,1,"I'm in a bit of a bind and could use some advice. I recently got an offer for a job that pays significantly more than my current position, but it requires relocating to a different state where I don't have any family or friends. I'm worried about the impact on my personal life and how to make new connections in a new place. On top of that, my current job has been pretty stable and I’m hesitant to leave it behind. What do"
19,low_stakes,0,"I just watched the sunset, and it was absolutely stunning."
20,decision_or_research,1,"I want to transition my career from marketing to data analysis. Can you outline the key skills and tools I should focus on learning, and suggest a few online courses or resources that would help me make this switch effectively? Additionally, how does the job market for data analysts compare to marketing professionals right now?"
21,personal_info,1,"I've been going through some rough patches lately, especially with my mental health, and I’m trying to figure out how to communicate this to my employer. I’m thinking of asking for a short leave of absence but I’m not sure how to frame my request without oversharing. It feels so personal, and I don’t want to jeopardize my job. What’s the best way to approach this while maintaining my privacy?"
22,low_stakes,0,That’s interesting! I hadn't thought about it that way before.
23,decision_or_research,1,"I'm considering switching from a traditional banking account to a digital bank, but I'm unsure about the pros and cons. Can you help me compare features like fees, interest rates, and customer service quality between a local credit union and a popular digital bank?"
24,personal_info,1,"I'm a 29-year-old graphic designer and I've been freelancing for about three years now. Recently, I received an offer from a company I really admire, but they want my salary history before proceeding. I'm not sure how to approach this without undervaluing my work or breaching my privacy. What’s the best way to handle this situation?"
25,low_stakes,0,Hope you're having a great day! Just wanted to say that I appreciate our chat.
26,decision_or_research,1,"I'm trying to decide between two smart thermostats for my home: the Nest Learning Thermostat and the Ecobee SmartThermostat. Can you help me compare their features, ease of use, and long-term energy savings? I'd like to make an informed choice that balances upfront costs with potential savings on my energy bills."
27,personal_info,1,"I'm about to send a cover letter for a job I really want, but I'm unsure how to address my recent gap in employment. I took time off to care for my elderly parent, and I want to explain this without it sounding like a red flag. How should I frame this in my letter?"
28,low_stakes,0,Just wanted to say it's nice chatting with you!
29,decision_or_research,1,"I'm planning a family vacation and need to decide between a beach resort in Florida or a cabin in the mountains of Colorado. Can you help me compare the pros and cons of each destination, including activities for kids, cost considerations, and the overall experience?"
30,personal_info,1,"I'm preparing for a big interview at a tech startup, and I need to submit my resume. However, I recently completed a bootcamp and I'm unsure about how to highlight that experience effectively. Can you advise on which skills to emphasize or how to format my resume to make it stand out?"
31,low_stakes,0,I saw a really cute dog on my walk today!
32,decision_or_research,1,"Can you help me evaluate the pros and cons of investing in a high-yield savings account versus a certificate of deposit (CD)? I'm particularly interested in factors like interest rates, liquidity, and overall risk, as well as how each option might fit into my longer-term financial goals."
33,personal_info,1,"I'm a recent college graduate looking for my first job in marketing. I’ve had a couple of interviews, but I’m not sure how to follow up effectively. My last interview was with a company I’m really excited about, and I want to make a good impression. What’s the best way to craft a follow-up email without sounding too pushy? Also, should I mention my internships in the follow-up?"
34,low_stakes,0,"That reminds me, I need to pick up some snacks later!"
35,decision_or_research,1,"I'm looking to upgrade my home office setup and want to compare standing desks versus traditional desks. Can you help me analyze the benefits and drawbacks of each option, considering factors like ergonomics, productivity, and long-term investment?"
36,personal_info,1,"I'm in a bit of a bind with my job application. I've been laid off recently, and I'm trying to put together a resume that really highlights my experience. I worked in marketing for over five years, focusing on digital campaigns and social media strategy. Could you suggest how I might effectively frame my achievements and maybe even point out any potential gaps in my work history that I should address?"
37,low_stakes,0,I just finished a great book and can't stop thinking about it!
38,decision_or_research,1,"I'm trying to determine the best way to allocate my monthly budget for both saving and enjoying leisure activities, specifically looking to balance a trip to Europe next year with building a solid emergency fund. What factors should I consider in terms of prioritizing these goals, and how might I go about creating a flexible spending plan that accommodates both?"
39,personal_info,1,"I recently received a job offer for a project management position that I’ve been really excited about, but I need to provide references. One of my former supervisors, who I think would be a strong reference, has moved to a different company, and I don’t have their current contact details. Is it acceptable to reach out via LinkedIn for their new info, or would that come across as unprofessional? I really want to make a good impression and"
40,low_stakes,0,That’s a fun little fact!
41,decision_or_research,1,"What are the pros and cons of using a hybrid work model versus a fully remote work setup for our team, considering factors like productivity, team collaboration, and employee satisfaction?"
42,personal_info,1,"Hey, I’m currently applying for a job that really excites me, but I need some guidance on how to approach my cover letter. I have a background in digital marketing and a couple of years of experience, but I want to make sure I highlight the right skills and projects. Could you give me tips on what personal experiences to include, or how to frame my achievements to stand out? I really want to make a good impression!"
43,low_stakes,0,Hope you're having a good day!
44,decision_or_research,1,"I'm considering investing in either a mutual fund or an ETF for my retirement account. Can you compare the two in terms of fees, tax implications, and performance potential over the long term to help me make an informed decision?"
45,personal_info,1,"I’m in a tricky situation. I’m 28 and just got a promotion at work, but I’ve been feeling really anxious about it. My boss asked me to lead a team project, and I’m not sure how to manage my time effectively. I’ve always struggled with balancing personal life and work. I’d love some advice on how to approach this without letting my anxiety get the best of me, but I also don’t want to seem"
46,low_stakes,0,Just wanted to say it’s been a pretty nice day outside!
47,decision_or_research,1,"I'm organizing a team retreat and need to decide between a beach location or a mountain resort. What are the key factors I should consider for each option, such as activities, accommodations, cost, and accessibility for the team?"
48,personal_info,1,"Hi, I’m in a bit of a dilemma. I recently accepted a job offer that I’m excited about, but I’m also considering whether I should disclose my disability to my new employer. I want to ensure I receive any necessary accommodations, but I'm worried about how it might affect their perception of me. Could you advise me on how to navigate this conversation?"
49,low_stakes,0,"Wow, the weather's been all over the place lately!"
50,decision_or_research,1,"Can you help me evaluate the benefits and drawbacks of adopting a four-day work week for my marketing team? I'm particularly interested in its potential impact on productivity, employee satisfaction, and overall company performance, as well as any strategies to implement it effectively."
51,personal_info,1,"I'm trying to prepare for an important job interview next week for a project management position. I have about five years of experience in the field, but I'm unsure how to effectively highlight my accomplishments and handle potential questions about my leadership style. Could you provide some advice or tips on crafting a strong personal narrative?"
52,low_stakes,0,I love how the leaves are starting to change color; it really feels like fall now!
53,decision_or_research,1,"I'm planning a month-long trip to Europe next summer and need advice on how to allocate my budget. I want to visit at least four countries, but I'm torn between focusing on Western Europe or exploring Eastern Europe for a more unique experience. Can you help me analyze the costs of flights, accommodations, and activities in each region, and suggest an itinerary that balances adventure with cultural experiences?"
54,personal_info,1,"I'm a recent college graduate looking to apply for entry-level marketing positions, and I want to make sure my resume stands out. I have an internship experience where I helped manage social media campaigns, but I'm unsure how to effectively highlight that on my resume. Also, should I include my GPA, even though it's not very high? Any tips on formatting or phrasing would be greatly appreciated!"
55,low_stakes,0,That was a pretty interesting point you made earlier!
56,decision_or_research,1,"I'm thinking about switching my career from marketing to data analysis, but I'm unsure whether I should pursue a certification program or a master's degree. Can you help me compare the two options in terms of time commitment, cost, and potential job opportunities in the tech industry?"
57,personal_info,1,"Hi there, I’m currently facing a tough decision. I’ve been working at my job for about three years now, and while I enjoy it, I’m feeling unfulfilled. Recently, a recruiter reached out to me about a position that aligns more with my career goals, but it’s in a different city. I’m worried about relocating, especially since I’ve built a great network here and have some personal ties. Would you recommend taking the leap"
58,low_stakes,0,Just noticed that my favorite coffee shop finally updated their menu!
59,decision_or_research,1,"I'm evaluating whether to take a hybrid or fully online course for my upcoming semester. Can you help me weigh the benefits and drawbacks of each format in terms of flexibility, interaction with instructors and peers, and overall learning outcomes?"
60,personal_info,1,"I'm working on my application for a graduate program in environmental science, and I'm unsure how to highlight my volunteer experience effectively. Last summer, I helped coordinate a community clean-up project, but I'm struggling to connect that to my academic goals. Can you advise on how to frame this experience in my personal statement?"
61,low_stakes,0,Hope you’re having a good day!
62,decision_or_research,1,"I'm considering investing in either a traditional IRA or a Roth IRA for my retirement savings. Can you break down the key differences between the two, including tax implications and withdrawal rules, to help me decide which option might be better for my financial goals?"
63,personal_info,1,"I’m applying for a new job in a different industry and need help with my cover letter. I have a degree in marketing but have been working in retail management for the past three years. I want to highlight my transferable skills, especially in customer relations and team leadership. What specific points should I include to make my application stand out? Also, should I mention my current salary range to help frame my expectations?"
64,low_stakes,0,Just saw a cool bird outside my window!
65,decision_or_research,1,"I'm trying to decide between two different programming languages for a new project: Python or JavaScript. Can you compare their strengths and weaknesses for web development, including factors like ease of learning, community support, and performance?"
66,personal_info,1,"I'm in the middle of applying for a scholarship that requires me to submit a personal statement. They want to know about my background and experiences, but I'm unsure how much personal information I should include. I come from a single-parent household, and my mom has worked multiple jobs to support us. Should I share that, or focus more on my academic achievements? Any advice on how to balance the personal and professional aspects would really help!"
67,low_stakes,0,What a lovely day it is!
68,decision_or_research,1,"Can you help me analyze the pros and cons of remote work versus in-office work for my team? I want to consider factors like productivity, employee satisfaction, and potential long-term impacts on company culture."
69,personal_info,1,"I recently got a promotion at work, but I'm feeling overwhelmed with my new responsibilities. My boss asked for a detailed report of my previous projects, and I'm unsure how to present my work effectively. Should I highlight specific achievements or focus on overall performance? Also, if you have any tips for managing this transition without feeling stressed, I’d really appreciate it."
70,low_stakes,0,"That reminds me, I still need to finish that book I started ages ago!"
71,decision_or_research,1,"I'm planning a week-long trip to Japan and need to decide between visiting Kyoto or Tokyo. Could you provide insights on the cultural experiences, attractions, and local cuisine in each city to help me make the best choice?"
72,personal_info,1,"I'm in a bit of a dilemma. I graduated with a degree in environmental science and have been applying for jobs in sustainability for the past few months. I've had a couple of interviews, but I feel like my resume doesn't highlight my skills effectively. I worked as an intern at a non-profit focused on climate change, but I'm unsure how to present that experience to stand out. Would it be advisable to include specific projects I worked on or focus more on"
73,low_stakes,0,I just finished a great book and can’t stop thinking about the ending!
74,decision_or_research,1,"I'm looking to upgrade my laptop for graphic design work, but I'm torn between a MacBook Pro and a high-end Windows laptop. Can you break down the advantages and disadvantages of each in terms of performance, software compatibility, and long-term value?"
75,personal_info,1,"Hi, I’m a recent graduate trying to navigate my first job hunt in marketing, but I feel overwhelmed. I have a degree in communications and a few internships under my belt, but I'm not sure how to effectively highlight my experience on my resume. I’m also a bit anxious about how to address my lack of full-time experience in interviews. Could you offer any tips on what to focus on or any resources that might help? Thanks!"
76,low_stakes,0,Just wanted to say I enjoyed our chat!
77,decision_or_research,1,"I’m evaluating different project management tools for my team and need to understand the key differences between Asana and Trello. Could you outline their main features, pricing structures, and any potential drawbacks for a small team working remotely?"
78,personal_info,1,"I’ve been asked to give a presentation at my company about my team’s recent project, but I’m nervous about sharing personal details about my background. I want to include my journey to this role, but I'm unsure about how much to reveal. Can you advise me on what personal information is appropriate to share, considering I want to maintain professionalism while also being relatable?"
79,low_stakes,0,I saw a really interesting article today about unusual hobbies—some people are so creative!
80,decision_or_research,1,"I need to evaluate the pros and cons of remote work versus returning to the office for my team, considering factors like productivity, employee satisfaction, and potential impacts on collaboration. What should I take into account to make a well-informed decision?"
81,personal_info,1,"I’ve been working in digital marketing for over five years now, and I’m considering a transition to a more analytics-focused role. Could you advise me on how to highlight my current skills on my resume? Also, if you know any specific tools or certifications that might be beneficial, I’d appreciate that insight. My goal is to present myself as a strong candidate while keeping my current job's confidential details intact. Thanks!"
82,low_stakes,0,It’s funny how a little rain can change the whole vibe of a day.
83,decision_or_research,1,"I'm trying to decide whether to invest in a mutual fund or an exchange-traded fund (ETF) for my retirement savings. Can you outline the key differences in terms of fees, risk, and potential returns, and help me understand which might be a better choice based on a long-term investment strategy?"
